_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,what_is_the_tweets_overall_attitude_toward_hillary_clinton,content,expert_label,id,what_is_the_tweets_overall_attitude_toward_hillary_clinton_gold
1713228592,5/2/2018 18:48:36,3639838346,5/2/2018 18:48:10,false,instagc,0.6667,22431902,GBR,G6,Hull,5.198.34.32,1,Hillary fought the balrog and emerged Hillary the White #debatenight,1,1,
1713228592,5/2/2018 18:48:39,3639838427,5/2/2018 18:48:11,false,neodev,0.7033,43936902,KEN,"","",154.79.40.150,1,Hillary fought the balrog and emerged Hillary the White #debatenight,1,1,
1713228592,5/2/2018 18:48:40,3639838445,5/2/2018 18:47:58,false,clixsense,0.7233,41464708,BGR,61,Varna,79.100.58.204,2,Hillary fought the balrog and emerged Hillary the White #debatenight,1,1,
1713228592,5/2/2018 18:49:33,3639840012,5/2/2018 18:48:16,false,clixsense,0.3333,36841019,IND,16,Mumbai,49.33.99.125,2,Hillary fought the balrog and emerged Hillary the White #debatenight,1,1,
1713228592,5/2/2018 18:49:46,3639840245,5/2/2018 18:48:21,false,elite,0.5726,42284682,SRB,"","",185.37.26.57,1,Hillary fought the balrog and emerged Hillary the White #debatenight,1,1,
1713228592,5/2/2018 18:49:57,3639840679,5/2/2018 18:48:05,false,elite,0.5978,36378612,BIH,01,Zivinice,109.175.6.99,2,Hillary fought the balrog and emerged Hillary the White #debatenight,1,1,
1713228592,5/2/2018 18:51:09,3639843139,5/2/2018 18:48:14,false,neodev,0.6857,43966055,EGY,11,Cairo,156.204.148.66,2,Hillary fought the balrog and emerged Hillary the White #debatenight,1,1,
1713228593,5/2/2018 18:49:10,3639839118,5/2/2018 18:48:27,false,neodev,0.7625,44116459,VEN,"","",186.90.99.150,1,We've got our #debatenight snacks ready to go. Clinton Family cookie recipe! #ImWithHer @HillaryClinton https://t.co/fvIm1TzhR1,1,2,
1713228593,5/2/2018 18:49:26,3639839659,5/2/2018 18:49:12,false,instagc,0.6667,22431902,GBR,G6,Hull,5.198.34.32,1,We've got our #debatenight snacks ready to go. Clinton Family cookie recipe! #ImWithHer @HillaryClinton https://t.co/fvIm1TzhR1,1,2,
1713228593,5/2/2018 18:49:27,3639839694,5/2/2018 18:48:43,false,neodev,0.7033,43936902,KEN,"","",154.79.40.150,1,We've got our #debatenight snacks ready to go. Clinton Family cookie recipe! #ImWithHer @HillaryClinton https://t.co/fvIm1TzhR1,1,2,
1713228593,5/2/2018 18:49:27,3639839755,5/2/2018 18:48:42,false,clixsense,0.7233,41464708,BGR,61,Varna,79.100.58.204,1,We've got our #debatenight snacks ready to go. Clinton Family cookie recipe! #ImWithHer @HillaryClinton https://t.co/fvIm1TzhR1,1,2,
1713228593,5/2/2018 18:50:07,3639840938,5/2/2018 18:48:51,false,clixsense,0.72,44291437,TUR,"","",176.237.80.94,2,We've got our #debatenight snacks ready to go. Clinton Family cookie recipe! #ImWithHer @HillaryClinton https://t.co/fvIm1TzhR1,1,2,
1713228593,5/2/2018 18:50:50,3639842513,5/2/2018 18:48:49,false,elite,0.7044,42479591,SRB,00,Belgrade,109.92.124.244,1,We've got our #debatenight snacks ready to go. Clinton Family cookie recipe! #ImWithHer @HillaryClinton https://t.co/fvIm1TzhR1,1,2,
1713228593,5/2/2018 19:22:38,3639899746,5/2/2018 19:19:22,false,elite,0.5726,42284682,SRB,"","",185.37.26.57,2,We've got our #debatenight snacks ready to go. Clinton Family cookie recipe! #ImWithHer @HillaryClinton https://t.co/fvIm1TzhR1,1,2,
1713228594,5/2/2018 18:48:36,3639838351,5/2/2018 18:48:10,false,instagc,0.6667,22431902,GBR,G6,Hull,5.198.34.32,1,Get fired up Tonight.  There is too much at stake in this election.  Hillary Clinton needs your help.  Join me in... https://t.co/aqOQQX2oYj,1,3,
